Date,From,Subject,Body
1/13/2026 7:00:16,Design System University <hello@designsystem.university>,Good Enough to Be Useful,"Design system teams often overestimate how good something needs
to be before it’s useful.

For a product team deciding whether to adopt a component, the bar
for “good enough” is usually lower than system teams expect.
Clarity, availability, and fit often matter more than polish. If
a component solves a real problem and doesn’t create friction,
that’s often enough to get started.

This is where many systems slow themselves down.

Teams spend time refining details, debating edge cases, and
raising internal standards before anything ships. Meanwhile,
product teams keep moving, filling gaps in their own way. The
system becomes carefully crafted, but easy to ignore.

This isn’t because quality doesn’t matter. It’s because quality
works differently over time.

Early on, quality is mostly hypothetical. Decisions are made in
isolation, without real usage to push back. Once a component is
in use, quality becomes concrete. Teams can see where it breaks
down, what causes confusion, and what needs refinement.
Improvements have somewhere to land.

That’s why quality tends to compound after adoption, not before
it.

More mature systems can afford to slow down and raise the bar.
They already have trust, usage, and feedback loops in place. For
teams still trying to earn that trust, prioritizing quality too
early can work against them.

Systems that make it through this stage tend to ship sooner than
feels comfortable, learn from real use, and invest in quality
where it has proven impact.

Adoption doesn’t replace quality. It creates the conditions for
it.
"
1/6/2026 7:03:52,Design System University <hello@designsystem.university>,Scope Before Scale,"Design system teams often try to be generous from the start. The
first component is built to work for every team, every product
area, every possible use case. No one is left out.

That generosity usually comes at a cost.

When a system tries to serve the entire organization from day
one, it has no clear center of gravity. Feedback comes from
everywhere and nowhere. Conflicting needs pile up before any
patterns have settled. Decisions get delayed because every edge
case feels equally valid.

At that stage, teams don’t really know what they’re building yet
– but they’re already accountable to everyone.

Starting smaller changes the kind of learning that’s possible.

Shipping a component for a narrow, contained context forces
focus. You learn who actually needs to be involved in decisions.
You learn how updates get reviewed, approved, and shipped. You
see where product pressure shows up, and where the system bends
or breaks under it.

This is how governance forms in practice, not in theory.

Small starts also shape expectations. When the system is
introduced as intentionally scoped, boundaries feel deliberate.
Expansion becomes something that’s earned through use, not
assumed by default. Saying “not yet” doesn’t feel like exclusion
– it feels like sequencing.

Trying to serve everyone immediately often comes from good
instincts: fairness, ambition, a desire to avoid politics. But
systems don’t scale by being fair to every use case at once. They
scale by being useful somewhere first.

Design systems that last tend to begin with a handful of teams
and a specific problem. They learn what actually matters, fix
what breaks, and grow with evidence instead of confidence.

Scale works better when it’s discovered, not declared.
"
12/30/2025 7:00:20,Design System University <hello@designsystem.university>,Let the Work Lead,"Teams don’t usually stall design system work on purpose. But when
the work is named before it’s experienced, momentum often slows.

Once something is called a “design system”, the conversation
shifts. Leadership starts asking about scope, cost, and return.
Those are reasonable questions. Early on, though, the work
doesn’t have much to point to yet. The outcomes are still
forming. The value hasn’t shown up in a way anyone outside the
team can feel.

At that stage, the burden moves from the work to the explanation.
Progress depends on pitches, not results. Without evidence, the
conversation tends to circle instead of move forward.

The work that gains traction usually follows a different path. A
team ships something useful. A product team moves faster. Fewer
decisions have to be revisited later. Bugs decrease. Timelines
tighten. The impact shows up in delivery before it shows up in
decks.

At that point, naming starts to help. Once people have felt the
benefit, giving the work a name helps connect those outcomes into
something leadership can recognize and support. A design system
becomes investable after it’s already proven useful – not before.

Naming something early can feel like progress. It gives the work
a shape and a story before either really exists. But it also
pulls the conversation away from outcomes and toward
justification.

In practice, adoption tends to follow experience, not
terminology.

Let the work lead. The name will make sense when it’s ready."
12/16/2025 7:00:11,Design System University <hello@designsystem.university>,Create an Influence Map,"If your design system is struggling to gain traction, don’t start
by fixing components.

Start by mapping influence.

Because design system adoption is not a meritocracy. It’s
political.

----------------------------
Step 1: Forget the org chart
----------------------------

Org charts show reporting lines. They don’t show decision-making.

Influence lives elsewhere:

* The engineer everyone listens to in reviews
* The designer who sets taste without authority
* The PM who blocks things quietly
* The leader whose opinion ends debates

Write names, not titles.

If you only include managers, your map is already wrong.

-------------------------------------
Step 2: Classify intent, not attitude
-------------------------------------

For each person, ask one question:

If this design system succeeds, do they win or lose?

Then label them:

* Supportive: they benefit if it works
* Undecided: they could go either way
* Opposed: success costs them something

This is not about who’s “nice.” It’s about incentives.

Someone can be pleasant and opposed.

-----------------------------------------
Step 3: Draw influence, not relationships
-----------------------------------------

Now connect people with arrows:

* Thick arrows = strong influence
* Thin arrows = weak influence

Direction matters.

Who shapes whose opinion? Who defers to whom? Who can override
whom?

This is where the real system reveals itself.

--------------------------------
Step 4: Find the leverage points
--------------------------------

Look for:

* Supportive people with strong influence
* Undecided people influenced by supporters
* Opponents who don’t actually influence decisions

That’s your strategy.

You don’t need everyone on board. You need the right alliances.

Trying to convince the wrong people is how design systems stall.

-------------------------
The point most teams miss
-------------------------

Influence maps aren’t political games. They’re clarity tools.

They stop you from:

* Over-investing in buy-in that doesn’t matter
* Fighting resistance you can’t win
* Assuming logic alone will carry the day

Design systems don’t spread because they’re correct. They spread
because the system around them allows it.

Map that system first.

"
12/2/2025 7:03:19,Design System University <hello@designsystem.university>,Design System Siblings,"Here‘s one of the simplest ways to explain design systems to
confused stakeholders:

Put them in a family.

Specifically, the family of enterprise-wide tools that shape how
companies build, ship, publish, and maintain digital experiences.

Design systems have siblings. And understanding those siblings
makes the role of a design system much easier to grasp.

If your partners—engineering, product, marketing, content,
leadership—aren’t clear on what a design system is, they’ll fill
in the gaps with assumptions:

* “Isn’t this just a CMS?”
* “Our CRM already handles that.”
* “We have a DAM; why do we need this?”
* “Is this like a UI kit from Figma?”
* “Wait… who owns this?”

When a design system is misunderstood, it gets mis-scoped,
underfunded, and misused.

When it’s understood, it becomes a strategic asset.

Most teams jump straight into defining components, tokens,
accessibility, governance, or contribution.

But not the first thing your stakeholders need.

They need context.

Without context, a design system feels like “another platform,”
“another tool,” or “another thing to maintain.” So teams end up
explaining too tactically, too technically, or too narrowly.

Instead, the fastest way to clarity is contrast. Explain what a
design system is by showing what it is not, next to the tools it
sits beside.

A design system finally makes sense when people see it as a
sibling—not a duplicate—of the enterprise platforms they already
know.

Here’s how to teach the siblings:

CMS (Content Management System)

* What it manages: Pages, posts, structured content
* Who uses it: Marketing, content ops, publishers
* Its job: Publish and organize information
* How it relates: The CMS distributes content; the design system
standardizes the UI used to display it.

CRM (Customer Relationship Management)

* What it manages: Customer data, interactions, segmentation
* Who uses it: Sales, CX, lifecycle marketing
* Its job: Show you who the user is
* How it relates: The CRM knows who the user is; the design
system shapes how experiences feel to that user.

DAM (Digital Asset Management)

* What it manages: Images, video, brand assets, documents
* Who uses it: Creative teams, marketing, brand
* Its job: Store and distribute brand assets
* How it relates: The DAM holds assets; the design system
provides instructions and components for using them consistently.

PIM (Product Information Management)

* What it manages: Product data, specs, variations
* Who uses it: E-commerce, product operations
* Its job: Maintain product metadata
* How it relates: The PIM manages product content; the design
system manages product presentation.

Design System

* What it manages: UI components, patterns, tokens, guidelines
* Who uses it: Design, engineering, content designers,
accessibility teams
* Its job: Create a shared visual and functional language across
the entire digital ecosystem
* Its unique value: ensures surfaces are consistent, accessible,
and cohesive.

---------------------------------
Bonus Framing: The Family Summary
---------------------------------

* CMS: What we say
* CRM: Who we say it to
* DAM: What we use to say it
* PIM: What we sell
* Design System: How it looks, behaves, and works

When stakeholders see this picture, design systems stop feeling
abstract and start feeling essential.

"
11/25/2025 7:01:59,Design System University <hello@designsystem.university>,Design Systems as Decision Engines,"Most teams still treat design systems like collections of
components. That’s the shallow end of the pool. The real
value—the part that actually scales—isn’t in buttons or tokens.
It’s in decisions.

A design system that only gives teams assets forces them to
guess. A design system that gives teams decision clarity makes
them faster, more consistent, and dramatically more aligned.

That’s why the systems that win aren’t libraries. They’re
decision engines.

-------------------
The Real Bottleneck
-------------------

Every slow workflow inside a product team can be traced back to
one thing: people making decisions with too little context or too
many options.

* Which spacing is correct?
* What pattern fits this flow?
* Who approves?
* Why is this team doing it differently?
* Why didn’t engineering interpret the design the same way?

Components don’t solve these problems.
​Shared decision logic does.

-------------------------------------
The Three Layers of a Decision Engine
-------------------------------------

* Standards (the rules). Clear, opinionated standards remove
subjective debates. They give everyone the same baseline for what
“good” means.
* Guidance (the reasoning). This is the multiplier. Guidance
explains why a decision is correct, creating trust and alignment.
Done well, it replaces hours of Slack back-and-forth.
* Assets (the tools). Components, tokens, templates.
Essential—but only valuable when built on standards and guidance.
Otherwise they’re just parts in a drawer.

---------------------------------
The Shift That Changes Everything
---------------------------------

Stop centralizing control.
Start centralizing clarity.

When teams understand how to make the right decisions without
asking permission, everything scales:

* Fewer redesigns
* Fewer inconsistencies
* Fewer meetings
* Faster engineering velocity
* Better cross-team alignment

Your design system’s job is not to be a gatekeeper.
Its job is to make product teams self-sufficient.

--------------------------------
If You Want a System That Scales
--------------------------------

Treat every asset you create as a vehicle for one question:

“What decision does this help someone make faster?”

If you answer that consistently, your design system won’t just
unify your UI.
It will transform how your organization ships.

That’s the real value.
That’s the part that scales.

"
11/11/2025 7:02:05,Design System University <hello@designsystem.university>,Design Systems Emerge,"Reading time: around 1 minute

Design systems are rarely the result of a single brilliant plan.

They’re the outcome of a hundred small decisions, tested and
adjusted over time.

That’s what business consultant Henry Mintzberg called emergent
strategy: patterns that form through action, not intention. In
1987, he wrote in Harvard Business Review (

):

“Deliberate strategy precludes learning once the strategy is
formulated; emergent strategy fosters it.”
That’s design systems in a nutshell.

Most teams try to “build the system” in a vacuum: collecting
buttons, colors, and spacing tokens like ingredients before
baking a cake.

But that’s not how systems really come together. The truth is,
the list of components isn’t a recipe. It’s a reflection of
what’s already been learned in the organization.

Creating a design system is more like restoring an antique car.
You take it apart to see what still works, what needs tuning, and
what’s beyond repair. At some point, you’re left with every part
scattered across your garage floor… old and new, dusty and
shining.

That’s your system: a collection of pieces waiting to be
reassembled into something that actually runs.

A successful design system doesn’t begin with a blueprint. It
begins with a teardown or what already exists.

Because only after you’ve deconstructed what is can you design
what could be.

"
11/4/2025 7:02:30,Design System University <hello@designsystem.university>,Design System Inertia,"One of the biggest challenges in design system work isn’t what to
build.

It’s how to get it moving.

If you’ve ever tried to start a design system from scratch, you
know what inertia feels like.

Meetings stall.

Funding fades.

Everyone agrees it’s a “good idea,” but no one’s quite sure when
to start.

The truth is, this isn’t a design problem. It’s a physics
problem.

Isaac Newton’s first law of motion says that objects at rest tend
to stay at rest.

In organizational terms: teams without a design system will
likely keep working without one.

But here’s the good news: that same law gives you the solution.
Objects in motion tend to stay in motion.

If you want your design system to move, link it to something
that’s already moving.

What’s always moving in a digital organization?

Product work.

Roadmaps are alive.

Teams have budgets, deadlines, and executive buy-in.

That’s momentum… and your design system can hitch a ride.

In most companies, there are natural inflection points that
already signal big change:

* Rebrands
* Replatforms
* Re-orgs
* Content migrations
* Mergers

Moments where the company says, “While we’re doing this, we might
as well do it right.”

That’s your opening.

Volunteer your team.

Step into the change.

Use that energy to quietly start laying the groundwork for your
system.

And here’s the twist: you don’t even need to say the words
“design system.”

To leadership, that phrase can sound abstract. Or worse: like
extra work.

So talk about outcomes instead. Say things like:

* “Doing work this way puts us six weeks ahead of schedule.”
* “See how many fewer bugs we had by reusing code that’s already
been QA’d?”
* “Our velocity has increased over the last few sprints.”

They’ll feel the impact before they even know it’s a design
system.

Because at the end of the day, momentum isn’t built by convincing
people.

It’s built by delivering wins inside the work that’s already in
motion.

So, don’t fight inertia.

Use it.

Find the moving train, and get on board.

"
10/28/2025 7:01:00,Design System University <hello@designsystem.university>,Wireframe to Design in One Click,"Remember Axure? Balsamiq? OmniGraffle? The wireframing tools that
made rough low fidelity digital mockups feel fast and
approachable? These tools were great for getting collaborative
input from people that weren’t necessarily designers, but the
tradeoff was always the same… you’d wireframe screens in
Balsamiq, get alignment, then rebuild everything from scratch in
Figma.

What if you could get that same speed but using your actual
design system components? What if you could switch between low
fidelity and high fidelity with one click?

That’s exactly what we built for the New York State Design System
(

). Using a clever approach to Figma variable collections and
modes, designers can switch components from low fidelity mode to
high fidelity mode. And it works in both directions. Start low
fidelity wireframing in FigJam and copy/paste into Figma for a
high-fidelity view. Or start in high fidelity in Figma, and
switch down to low fidelity to keep stakeholder feedback focused
on layout and content.

-----------------
What’s The Value?
-----------------

Before diving into how it works, let’s talk about a few reasons
why we implemented this.

First, we had several clients who didn’t want to take the time to
wireframe the full user flows. They saw the work as duplicative,
and instructed designers to start work in high fidelity to save
time. This new approach helped us reduce this roadblock to
wireframing.

The second reason had to do with getting the right kind of input
and feedback at the right time. If a designer reviews a
high-fidelity screen with clients, the feedback is usually some
variation of “hm… can we try that button in blue?” That might be
the feedback they’re looking for, but probably not, especially
early on. Switch the same design to low fidelity before the
review, and the feedback might be more like, “hm… should this
content come before or after the image?” Better feedback.

There’s another, more pragmatic, benefit for a large org: FigJam
licenses are cheaper, and FigJam files can even be opened to
stakeholders for 24-hour sessions without requiring accounts. You
can run a consensus-gathering workshop with 30 people across
departments by giving them temporary FigJam access, sharing the
low fidelity components as sticker sheets (for example), and
letting them contribute ideas directly. Because stakeholders are
working with actual components, they can be instantly upgraded to
high fidelity once decisions are made. This can add up to
significant cost savings (both money and time) for large teams.

​

--------------------------------------
How Does It Work? (The Simple Version)
--------------------------------------

My explanation is going to assume you have a solid understanding
of how Figma Variables work. If you need a primer, Figma has a
solid introduction for beginners (

).

The way we’ve implemented Fidelity Modes is based on using
Figma’s variable collections as a sort of routing system. Think
of it like a switchboard that can send different values to the
same components depending on which mode you’re in.

The simplest setup is based on three types of variables:

* Primitive Variables: Raw values, like specific color hex codes,
pixel sizes, etc.
* Routing Variables: The “switchboard” that says, “in low
fidelity mode, use this primitive; in high fidelity mode, use
that one.”
* Applied Variables: These are the variables that actually get
assigned to your component properties.

For fidelity switching, we created a routing collection with
three modes: Low, Mid, and High. When you switch modes, all of
your components automatically update because they’re pulling from
variables that now point to different values.

For example, when the mode is set to Low Fidelity, the border
radius variables are all set to 0. The color variables are all
translated to a grayscale equivalent. The font family variables
are set to Comic Sans. In High Fidelity, components are rendered
in full detail including accurate brand colors and fonts. Same
components, different modes.

We also built in a second Fidelity routing mode for designers to
change the Fidelity font from hand drawn (Comic Sans) to
scribbled lines (Redacted Script). This is for times when a
designer wants to focus solely on layout and take the focus
entirely away from text content. For the Fidelity modes to work
with the text in your components and screens, you need to build
and publish Figma Text Styles from your Applied Variables
collection.

​
A key thing to understand is that you don’t need to expose this
complexity to the designers using your design system. You only
need to publish the Applied variable collection. Teams just use
the components normally… they don’t need to understand the
routing logic that happens behind the scenes. They can even build
new components from the published Applied variable collection and
their new components will automatically get the Fidelity
switching functionality. The design system team handles the
complexity once, and everyone else just gets a ✨magical✨ new
feature.

-----------------
FigJam Workaround
-----------------

The first time we tried this, we ran into the issue where FigJam
doesn’t let you set modes.

But we figured out a workaround. Create a section (not a frame)
in Figma, set it to Low or Mid Fidelity, and copy it into FigJam.
Any components you place in that section will inherit the
fidelity mode setting. We tried using Frames as artboards in
FigJam and found that there were issues with variable modes not
being correctly applied when components were placed on top of
Frames inside of Sections. Use sections as your FigJam artboards,
and you’re good to go.

--------------------
Should You Try This?
--------------------

This approach requires a well-structured foundation. You need a
thoughtful set of design tokens (you can find ours here (

)) implemented in Figma as variables, a library of components
built from those variables, and a systematic approach to
extending. It's not for everyone, especially if you've already
built many components.

If your design system is in its infancy or you’d like to take
your system to the next level, start by building your components
from a single-mode variable collection. If you have multiple
brands put those in a lower level collection and map your Applied
Variables to the brand collection. By taking this approach it
becomes easy to insert additional routing layers, like Fidelity
Modes, in the future.

Fidelity modes feel like a superpower. To designers who see it
for the first time, it feels like a magic trick… but it’s really
just a clever use of variables.

--------------
One More Thing
--------------

We’re also using this routing collection approach for more than
just fidelity. The same routing technique can be used for:

* Multiple brands (useful if different teams need customized
versions of components)
* Device sizes (switch between mobile, tablet, and desktop
styling)
* Appearance modes (light, dark, high contrast)

For example, we’re planning to add an “Organization” routing
collection so that once the NYS Design System is published to the
community, local governments in New York can plug in their own
brand colors and customize it without starting from scratch.

Credit for the routing collection concept to Vincent Schlothauer
(

) and Franziska Haaf (

) from the REWE design system team, whose talk at Into Design
Systems 2025 inspired the idea for this.

-------------------
Want to Learn More?
-------------------

This workflow is still in beta, but we’re excited about where
it's heading. If you’re experimenting with similar ideas or have
questions, you can reach out to us at designsystem@its.ny.gov (

).

You can try out this technique in the Figma community file (

) we published.

The NYS Design System was recently named a finalist for the 2025
Zeroheight Award for Innovation for this fidelity-switching
approach. If this article or technique resonated with you, we'd
be grateful for your vote: The NYS Design System: Using Routing
Variables to Allow DS-driven FigJam Prototyping (

)

—Leo Vogel (

), UX Lead, NYS Design System Team

Whenever you’re ready, there are 3 ways we can help you level up
your design system skills:

* Beginner: start with our free course “Make Design Systems
People Want to Use (

)” for an overview of what it takes to succeed in design systems.
* Intermediate: Go through our “Design Systems 101 (

)” course, a hands-on, 72-module, 10+ hour course that gets you
started on everything you need to know to get a design system’s
design and code up and running.
* Advanced: register for an upcoming live cohort of “Design
System in 90 Days (

)” to learn how to set up a design system practice at your
organization. You’ll work directly with DSU founder Dan Mall and
a group of your industry peers over an intense period of 12
weeks.

You’ve received this email because you signed up at Design System
University (

). Unsubscribe (
https://unsubscribe.convertkit-mail2.com/gkux53g7pgi5hl68ovvirh8dxm699bmh9r34p
) if you’d prefer not to receive these emails anymore.

Design System University: 533 E Girard Ave Unit #549 ,
Philadelphia, PA 19125"
10/21/2025 7:05:38,Design System University <hello@designsystem.university>,Why Product Teams Don’t Contribute to Design Systems,"Design systems thrive on contributions from across an
organization.

Without contributions, design systems become bottlenecks: stale,
disconnected, and increasingly irrelevant to product realities.

The irony? The same teams you built the system for are often the
least likely to contribute back.

---------------------------------
The Hard Truth Most DS Teams Miss
---------------------------------

Most design system teams assume product teams should want to
contribute.

But that assumption ignores two key truths.

First, too many new things. A 2006 Duke study showed that over
40% of human actions are habitual. So when you introduce new
tools, processes, or workflows, you’re not just changing
software. You’re asking people to rewire their habits.

Second, it’s not their job. Product teams exist to ship products.
Not to maintain or improve your design system. When deadlines
loom, “contribute to the design system” naturally slides to the
bottom of the backlog.

---------------------------------------------------
Flip the Frame: Don’t Ask for Help, Remove Friction
---------------------------------------------------

If you want product teams to contribute, stop asking them to act
like design system teams.
Your goal isn’t to convince them; it’s to make contribution the
path of least resistance.

Here’s what actually works:

* Reduce cognitive load. Integrate your system into their natural
workflow. Don’t force adoption through extra steps or tools.
* Reward contributions. Recognize and celebrate even small pull
requests or component updates.
* Design for them, not you. Treat product teams as your primary
customers and make contribution feel like progress, not charity.
* Automate the boring parts. The easier it is to contribute, the
more contributions you’ll see.
* Align incentives. If contributing helps them hit deadlines
faster, you won’t need to beg for buy-in.

------------------------------------
The Real Job of a Design System Team
------------------------------------

Your job isn’t to collect components. It’s to create alignment.

Every contribution from a product team is a signal that they
trust your system, that it helps them move faster, that it feels
theirs.

When contribution becomes collaboration, your design system stops
being a product and starts becoming a culture.

That’s when it scales.

—Dan Mall, founder of Design System University

Whenever you’re ready, there are 3 ways we can help you level up
your design system skills:

* Beginner: start with our free course “Make Design Systems
People Want to Use (

)” for an overview of what it takes to succeed in design systems.
* Intermediate: Go through our “Design Systems 101 (

)” course, a hands-on, 72-module, 10+ hour course that gets you
started on everything you need to know to get a design system’s
design and code up and running.
* Advanced: register for an upcoming live cohort of “Design
System in 90 Days (

)” to learn how to set up a design system practice at your
organization. You’ll work directly with DSU founder Dan Mall and
a group of your industry peers over an intense period of 12
weeks.

You’ve received this email because you signed up at Design System
University (

). Unsubscribe (
https://unsubscribe.convertkit-mail2.com/v8ul25ekpehrhve8g7pughv2xemlls9hrd2g7
) if you’d prefer not to receive these emails anymore.

Design System University: 533 E Girard Ave Unit #549 ,
Philadelphia, PA 19125"
10/14/2025 7:04:26,Design System University <hello@designsystem.university>,The Best Design Systems Don’t Just Ship. They Serve.,"A lot of design system teams call their system a “product.” And
that’s mostly a good thing. It shifts the mindset toward quality,
maintenance, and user experience.

But the best design systems aren’t just products. They’re
services too.

A product is something people use.

A service is something people rely on.

----------------------------
Why this distinction matters
----------------------------

Products live in dashboards. Services live in people’s daily
workflows.

Products sit in repos. Services show up in Slack at 4pm on Friday
when someone’s trying to push a release.

If your system is just a pile of tokens and components, it’s a
product. If your system comes with onboarding, support, and
real-time guidance, it’s a service.

---------------------------------------------
What service design looks like in system work
---------------------------------------------

* On-demand help. Is it easy to get a question answered fast?
* Intentional onboarding. Are new team members shown how to use
it, or left to fend for themselves?
* SLAs and response times. Do you respond quickly when something
breaks or is unclear?
* Human ownership. Is someone responsible for helping people
succeed with the system?

----------------------------------------
The best teams act like customer support
----------------------------------------

One of the strongest system teams I’ve worked with rotated weekly
“system support” shifts. One engineer and one designer, both on
call for questions.

That service mindset built trust. Teams felt seen. And adoption
soared. People knew help was just a Slack message away.

--------------------------------
Turn your product into a service
--------------------------------

If you’re treating your system like a dropbox of reusable code,
you’re under-serving your users.

Shift your mindset: what if you thought of your system as
support, not just software?

Build a great product. Just don’t forget the humans (

) who rely on it.

"
9/30/2025 7:04:05,Design System University <hello@designsystem.university>,How to Run a Design System Workshop That Doesn’t Suck,"A great design system workshop isn’t about slides. It’s about
shared understanding.

---------------------------
The mistake most teams make
---------------------------

They treat workshops like mini conferences:

Decks.
Demos.
Maybe a Q&A at the end.
​
But the best workshops are working sessions.
​Where people learn by doing, not just watching.

------------------
My workshop recipe
------------------

* Start with goals. What pain are people feeling? What decisions
need to be made?
* Build something together. Review and rebuild a real component
with input from both design and dev.
* Surface disagreement. Find where people don’t align. Name it.
* End with actions. What’s decided? What needs a follow-up? Who
owns what?

---------------------------
Bonus: Capture the friction
---------------------------

Workshops are gold mines for uncovering real blockers:

* “Why can’t I override this prop?”
* “We always fork the tooltip because of X.”

Document those. They shape your backlog better than any survey.

Workshops don’t have to be perfect.
But they do have to feel productive.

Less presenting.
More collaborating.
And bring cake for celebrating.

"
9/23/2025 7:01:57,Design System University <hello@designsystem.university>,"If Everything’s a Priority, Nothing Is","I’ve worked with a lot of design system teams who proudly say:

“We’re building tokens, components, documentation, tooling,
accessibility, design-to-code workflows, contributor guidelines,
and content patterns… all at once.”

To which I reply:

“Great! Which one of those is the most important?”

Because here’s the truth:

If everything’s a priority, nothing really is.

Or, by way of one of my favorite ancient proverbs:

“If you chase two rabbits, you will catch neither.”

---------------------------------
The illusion of parallel progress
---------------------------------

Design systems feel like they should be built in parallel.

Designers build the kit. Engineers build components. PMs write a
roadmap.

But what often happens?

Work drifts.
Dependencies stall.
People burn out.
Nothing ships.

----------------------------
A design system is a startup
----------------------------

Think like a founder.

If you had six months of runway (

), what feature would most prove the system’s value to your
organization?

That’s your real priority.

Everything else can wait.

------------------------------------------------------------
How to find your design system’s “point of highest leverage”
------------------------------------------------------------

Ask:

* What’s the most repeated pain point in product teams?
* What’s the most adopted part of our system so far?
* What’s the smallest win that would unlock bigger ones?

Ruthlessly focus on that.

-------------------------------------
Shifting from “coverage” to “crucial”
-------------------------------------

One system team I coached was trying to build lots of things for
multiple platforms simultaneously.

I encourage them to find the most important thing.

After some digging, we discovered that message components for iOS
applications were the most needed area of help.

We cut everything else out.

Product teams loved it.
Adoption tripled.
Momentum soared.
And it created breathing room to build the rest.

"
9/16/2025 7:05:37,Design System University <hello@designsystem.university>,Why Your Second Design System Stinks,"You may not realize it, but if you work on a design system,
you’re doing leadership work.

Even if you’re not a manager.
Even if no one reports to you.

Systems work is leadership by design.

Why?

Because you influence decisions at scale.

You shape:

* What gets reused
* What gets standardized
* What gets encouraged vs. avoided

That’s not just delivery work. That’s strategic direction.

Leadership shows up in how you:

* Push for clear naming
* Advocate for accessibility
* Say no to component bloat
* Handle feedback from skeptical teams
* Respond when someone forks your component

It’s all leadership. Quiet, invisible, powerful.

I once worked with a junior designer on a design system team who
said, “I don’t feel qualified to tell other teams how to build.”

But here’s the thing:

* She helped onboard multiple teams.
* Fixed dozens of Figma inconsistencies.
* Prevented regressions in design QA.

That’s impact. That’s leadership.

What makes a great design system leader?

Not job title. Not tenure. Not slide decks.

* It’s listening.
* It’s clarity.
* It’s care.
* It’s courage to speak up when something’s not right.

When you’re working on a design system, you’re not just pushing
pixels or fixing tokens. You’re modeling the kind of design
culture your org will inherit.

Every component you refine, every guideline you clarify, every
tough “no” you stand by… those choices ripple outward. They shape
how teams design, how they collaborate, and how they scale.

That’s why system work is leadership work.

So the next time you’re knee-deep in Figma clean-up or debating a
naming convention, remember: you’re not just tidying up. You’re
leading: quietly, visibly, and at scale.

"
9/9/2025 7:05:07,Design System University <hello@designsystem.university>,Why Your Second Design System Stinks,"Have you heard of the “second system effect”?

Coined by Fred Brooks in The Mythical Man-Month, it describes
what happens when someone builds their second big system:

This second is the most dangerous system a man ever designs… The
general tendency is to over-design the second system, using all
the ideas and frills that were cautiously sidetracked on the
first one.
They over-engineer it.
Overcomplicate it.
Add every feature they wished the first one had…and then some.

The result becomes something bloated, hard to maintain, and hard
to use.

Sound familiar?

-----------------------------------
How this shows up in design systems
-----------------------------------

A team builds v1 of their system quickly: basic components, a
token set, light docs.

Then they start v2 with good intentions: better structure, more
coverage, tighter dev pipelines.

And suddenly:

* Every component has 12 props.
* The Figma kit has 5 states no one uses.
* Onboarding takes 2 hours just to explain buttons.

You’ve fallen into the second system trap.

-----------------
The warning signs
-----------------

🚨 You’re building for edge cases that haven’t happened yet.
🚨 You’re prioritizing theoretical scale over current usage.
🚨 You’re maintaining patterns no one uses… because you might
someday.

-----------------------
The way out: keep going
-----------------------

How do you solve your second system problem?

Finish it.

As quickly as possible.

Build in all your wishes and desires.

Then put it to bed and get on to your third system.

Almost every successful team I’ve worked with was on their third
or fourth iteration of their design system.

"
9/2/2025 7:03:24,Design System University <hello@designsystem.university>,Don’t Scale Chaos,"One of the biggest traps for design system teams is trying to
scale chaos.

I see this all the time:

An organization has 10 product teams all doing things
differently.

Leadership finally says, “We need a design system to fix this
mess!”

So the system team tries to roll out a big, top-down solution to
standardize everything, all at once.

What happens?

Pushback. Confusion. Half-baked adoption.

The chaos doesn’t shrink. It just gets hidden under a new set of
rules that nobody feels invested in.

----------------------------------------
A better way: small system, proven first
----------------------------------------

A design system isn’t a mandate. It’s a promise.
The promise is: Use this, and your life will get easier.

If your promise doesn’t deliver fast, no one sticks around to
trust it.

------------------------------------
Start with a “minimum viable system”
------------------------------------

Here’s what I recommend:

* Pick three teams who want help.
* Identify their biggest pain point: Is it inconsistent spacing?
Duplicate components? Accessibility headaches?
* Solve that pain with the system, and prove the value quickly.

--------------------------
System scale follows proof
--------------------------

When people see real benefits—saved hours, cleaner handoff,
better experience—they spread the word. Word of mouth does more
than any big launch event ever could.

The best design systems don’t spread by forcing compliance.

They spread by being too useful to ignore.

------------------------------------------------
Build the system first, then scale when it works
------------------------------------------------

Don’t announce a system that hasn’t solved a real problem yet.

Prove the value on the ground. Show it saves time.

Then scale up.

That’s how you win trust and adoption for the long haul.

"
